,id,text,category
0,12583,"  atlanta ( reuter ) - two powerful explosion rocked atlanta building housing abortion clinic thursday , second injured several people including police fire official answered initial emergency call . federal investigator said appeared clinic target could rule unrelated domestic terrorism cause explosion . first blast shattered one side office building housing atlanta northside family planning service center suburb known sandy spring around 9:30 a.m. est . clinic worker said least four people inside facility time one injured . little hour later garbage container corner adjacent parking lot exploded , knocking people ground injuring several scene . although abortion clinic five-floor office building immediately identified possible target , u.s . attorney kent alexander said official also looking dental , medical legal office building . `` that definitely possibility , ruling possibility domestic terrorism unrelated clinic violence , '' alexander said . federal investigator u.s. attorney 's office , fbi u.s. bureau alcohol , tobacco firearm also checking link last summer 's centennial olympic park bombing . pipebomb killed two people injured hundred others atlanta park july 27 , one charged incident . alexander said official uncertain explosive device left scene . `` we 're taking every precaution make sure another device one get hurt , '' alexander said . police strengthened security least half dozen abortion clinic metropolitan area clinic area also stepped security measure . many already guard next week mark 24th anniversary u.s. supreme court ruling roe vs. wade case recognizing woman 's right abortion . `` i 've made certain police reinforcement visible way reassuring public , '' atlanta mayor bill campbell said . described second explosion '' particularly heinous '' apparently intended injure medical personnel police officer rushed scene . washington , president clinton condemned violence , calling `` a vile malevolent act . '' `` nobody right use violence america advance conviction right others , '' clinton said statement . `` we get bottom this . punish responsible fullest extent law provides . '' police evacuated nearby building kept bystander well away scene second explosion bomb expert searched device . first blast powerful enough shatter plate-glass window nearby office building rattle dinner plate home mile away . tv aerial shot showed shard broken plaster scattered across parking lot one side building , smoke poured broken remains garbage container . `` i think condemnation society time live , '' fulton county commissioner tom lowe told reporter . `` i think trying make point think made point . '' fulton county police said several people hurt second blast , mainly police fire official . television showed man described atf agent helped area . eyewitness said tv camera crew filming scene standing next garbage container ran interview witness second explosion . `` there big blast . almost like someone pushed hard possibly could pushed . sudden pandemonium , '' photographer near dumpster told local television . local press report said clinic site bomb attack 1984 . federal official set special hot-line phone number 888-atf-bomb , urged member public call police tip description unusual activity might related bombing . ","Cri
"
1,31509,"  hebron ( reuters ) - 2,000 supporter militant islamic hamas group rallied west bank town hebron saturday condemning massacre 29 moslem jewish settler four year ago . protester waved green flag hamas movement , chanted islamic song , carried coffin inscribed word `` peace process , '' `` security council decision '' `` israeli justice , '' witness said . february 1994 settler baruch goldstein , u.s.-born physician , gunned rank moslem kneeling prayer survivor beat death . sheikh nayes rajoub , brother palestinian west bank security chief jibril rajoub , said rally incident ... '' crime whole zionist society '' called israel evacuate jew hebron . around 100,000 arab 400 settler live town , holy moslem jew . israel handed 80 percent hebron palestinian authority agreement signed last year . ","Str
"
2,15599,"  winnipeg , manitoba ( reuter ) - army resident feverishly threw sandbag front home saturday surging red river swamped first house city 650,000 people . official said flooding , caused quickly melting snow northern plain , could worst 145 year . house southernmost end winnipeg swamped owner unable build sandbag dike quickly enough hold back spreading water . flooding province 's largest city latest result expert called once-in-500-year flood . usually tame red river north swelled 22 time normal flow month record-breaking winter snow melted . river across dakota minnesota spilled countryside inundated thousand home . flood moved north river valley along minnesota-north dakota border toward lake winnipeg , devastating grand fork , north dakota , city 50,000 . water began trickling tap grand fork saturday river level continued recede there . resident hoped sign would soon enough water pressure take shower , official warned brown liquid safe drinking . manitoba government official said saturday water red covered 500 square mile manitobans taken calling southern part province `` the red sea . '' official winnipeg said resident whose house swamped enough time protect home , work hard enough erect sandbag wall . `` it case little , late homeowner , '' city street transportation official bob mcdonald said . resident 51 home low-lying area ordered leave higher ground officals said occupant 500 home notified may also leave . `` i got another 500 sandbag last night , i 've told evacuate sunday , '' south winnipeg resident rob diziak said . across southern part western canadian province , 17,000 people evacuated several small town swallowed relentless river . number farming community near canada-united state border deserted friday military civilian crew gave fight flood . flood water contaminated one town 's water reservoir late friday , forcing resident oakbluff , manitoba , line clean water local community hall , town official klassen said . battalion soldier 100 bulldozer grader south oakbluff raced clock raise 15-mile wall earth sunday protect southwest part winnipeg . 29-mile drainage ditch along eastern edge winnipeg , built two destructive flood , expected protect city . official feared city 's southwest could vulnerable . `` i feel secure we 're going able withstand worst part damage thing fine , '' manitoba premier gary filmon said flying red river flood zone . canadian prime minister jean chretien boarded military helicopter saturday could get first-hand look devastation two southern manitoba town . red river flood 1979 covered 400 square mile southern manitoba comparable flood 1950 forced evacuation 100,000 winnipeggers . 800 square mile may flooded red river crest year . manitoba flood engineer engineer larry whitney said flooding could worst winnipeg since 1852 .","Dis
"
3,33236,"  patna , india ( reuters ) - least 23 body recovered monday riverboat capsized eastern indian state bihar , police said . `` twenty-three body fished search operation still on , '' k.a . jacob , director general police , told reuters . said boat , carrying 60 80 people returning hindu festival celebration , capsized kareha river samastipur district . jacob said sure exact casualty figure . `` the toll may go can not say anything moment , '' said . united news india reported 150 people aboard vessel estimated number missing 125 . jacob denied medium report . `` the death figure may 25 little more . country boat carry many people , '' said . press trust india estimated 35 people feared drowned . jacob said overcrowding believed cause accident , occurred around 9.30 a.m. ( 0400 gmt ) . passenger returning bariahi ghat , 185 km ( 120 mile ) north state capital patna , celebrating ram-naomi festival sivajinagar . ","Dis
"
4,14165,"  lima ( reuter ) - talk end peru 's 80-day hostage crisis appeared derailed friday boycott marxist rebel retaliation alleged building tunnel storm besieged japanese ambassador 's residence . tupac amaru revolutionary movement 's ( mrta ) refusal attend tenth face-to-face meeting government later friday dashed optimism peaceful solution nearing . president alberto fujimori , already smarting mrta 's negative reaction offer asylum cuba return freeing 72 hostage , set continue consulting adviser government palace plan next move . tokyo appealed rebel reconsider . `` the japanese government strongly support effort ... secure safe release hostage , '' government spokesman seiroku kajiyama told reporter . `` therefore , hope tupac amaru revolutionary movement side attend next round preliminary dialogue . '' negotiation process thrown confusion thursday rebel leader nestor cerpa said evidence government aimed rescue hostage second-in-command , rolly rojas , attended talk safe house across street diplomatic residence . `` we going attend negotiation right condition exist transparent process , '' said walkie-talkie interview within residence . `` all sudden , waiting u leave start attack , taking advantage absence , '' said . `` without doubt ( there is ) tactic attack outside ... hearing noise underneath floor . '' official reaction peruvian police . security force source consulted reuters confirmed least four tunnel dug besieged compound recent week , loud music played police outside . tunnel would used attack , would last seven minute cause many death , added . fujimori chief negotiator , domingo palermo , withheld comment , defense minister tomas meza castillo denied cerpa 's accusation visit bolivia . `` i believe result mrta member ' nervousness , nothing else , '' told reporter la paz . meza said government seeking peaceful solution would use `` other method '' hostage harmed . daily la republica , early friday edition , said reporter observed since mid-january material brought house street behind residence 11 p.m. 3 a.m. every night . guard confirmed material earth driven away police vehicle dumped lima beach later also national intelligence service headquarters , paper added . quiet night , rebel played revolutionary anthem dawn friday shouted defiant slogan . `` eighty day operation , move u ! vanquish u ! '' yelled . compounding pessimism talk , local clairvoyant predicted bloody finale crisis . `` disorder come , could interpret exhausting dialogue , exasperation expectation ... final eruption violence painful outcome , '' wrote agatha lys statement faxed news medium . mrta rebel , demanding release 400 jailed comrade , still hold fujimori 's brother , pedro , two government minister , ambassador japan bolivia , two dozen japanese diplomat businessmen . new statement mrta sent reuters early friday > from norma velazco , spokeswoman germany , mark international woman 's day , echoed mood residence . `` the tupac amaru woman commemorates day fighting jungle , poor slum , peruvian prison japanese ambassador 's residence lima , defense life people , brother sister jail resisting neoliberalism indiscriminate repression , '' said . ","Str
"
5,15601,"  lima ( reuter ) - peru 's agriculture minister rodolfo munante , freed hostage , friday denied seen heard 14 marxist rebel try surrender killed tuesday 's raid japanese ambassador 's residence . `` i said time seems absolutely absurd , '' munante told news conference . quoted cbs/telenoticias television described seeing rebel surrender room captive judge held . munante made direct reference report peruvian commando captured two rebel alive executed tuesday 's dramatic assault . said judge ' room 20 yard away held side house 's upper floor . sound explosion gunfire meant impossible hear going on , added . minister also gave dramatic testimony one young tupac amaru revolutionary movement ( mrta ) rebel decided shooting chaotic second military operation . rebel entered room held , pointed gun minister , lowered weapon turning shoot direction approaching commando . `` what happened lad , want believe relationship , '' munante said , describing bond built captor four month . `` there surrender lad kill me , '' said , adding believed rebel shot dead army commando lt. juan valer led foreign minister francisco tudela safety . valer , one army commando , one hostage 14 rebel died assault put end 126 day old standoff .","Str
"
6,15423,"  grand fork , n.d. , april 20 ( upi ) -- 50,000 resident grand fork , n.d. , evacuated city , endured trial water fire weekend . worst yet . national weather service said red river still rising sunday , albeit slower rate . river expected crest monday grand fork 54 foot , full 26 foot flood stage . raging river burst sandbag dike saturday , submerging much city 5 foot water . mayor pat owen told resident leave area , sunday mandatory evacuation order effect 95 percent city . hour owen issued exit cue , fire broke downtown building . blaze raged control overnight waist- deep floodwaters kept fire truck distance . fire consumed least six building three separate block crew able suppress sunday afternoon . injury reported . chosen defy evacuation order enduring power telephone outage , among hardship . grand fork ' water treatment plant flooded saturday dike broke , depriving area 8 million gallon day drinking water . plant 11 million gallon stored reserve tank , regular system expected commission least two week . minnesota side swollen river , east grand fork mayor lynn stauss told minneapolis star-tribune 90 percent city 's 9,000 resident evacuated saturday night . stauss told newspaper , `` it 's going take year recover > from this , more . '' ","Dis
"
7,22670,"  strasbourg , oct 9 ( afp ) - russian president boris yeltsin announced thursday candidate third term office year 2000 , ending week rumour moscow . yeltsin gave news strasbourg arrived summit council europe , gathering head state government across europe two day . `` i candidate third mandate . let u hope next president young , energetic pugnacious democrat , '' said stepping plane brought moscow . `` i repeat , candidate third mandate . president , guarantor constitution . must set example respect it . `` i going change constitution this . that 's way is . '' russian constitution december 1993 , replaced soviet-era basic law , president elected four year , renewable once . yeltsin first elected head russian federation june 12 , 1991 , russia independent state part soviet union . despite poor health ran re-election 1996 , beating communist challenger gennady zyuganov high price new heart attack eve decisive second round july . forced political scene prepared quintuple heart bypass november , gave new lease life political vigour . speculation appetite another four year kremlin current term expires 2000 mounted week senior aide moscow said could seek reelection without breaching constitution . sergei yastrzhembsky told belgian newspaper le soir tuesday `` speaking lawyer , consider yeltsin carried previous mandate constitution soviet union . `` in word , current mandate first russian constitution , therefore another , year 2000 , would constitutional , '' yastrzhembsky said . yeltsin thrown fuel flame pointedly refusing rule third mandate visit nizhny novgorod last week . `` there three year go . pushing early ? '' said . constitutional court , theory rule constitutional dispute , earlier week refused divulge position issue . one judge reported thursday saying rule issue . `` the question must put constitutional court , '' judge viktor luchin told daily nezavissimaia gazeta moscow . second ever summit council europe , 40-member body promotes human right across continent , due start friday continue saturday , bringing together 25 president 19 head government , four applicant member also attending . yeltsin , due dine thursday evening summit host french president jacques chirac , showed continued grip power thursday answering question domestic politics immediately announcement stand re-election . asked recent threat dissolve duma , lower house parliament continues block legislation , said believed recent radio broadcast changed thing . `` i think thing alright now . duma understood radio broadcast normal budget debate , '' said .","Pol
"
8,07435,"  atlanta ( reuter ) - second victim saturday 's bomb blast atlanta 's centennial olympic park 44-year-old american woman visiting olympics , fulton county medical examiner 's office said . spokesman said telephone woman killed '' multiple penetration injury '' flying metal fragment . victim identified earlier turkish cameraman suffered heart failure near scene blast . named woman alice hawthorne albany , georgia . cameraman identified melih uzunyol , collapsed near scene blast . spokesman gave uzunyol 's cause death `` serious heart disease aggravated explosive event '' said manner death case would certified homicide . 110 people injured bomb , exploded crowd reveller attending late-night pop concert . spokesman georgia baptist hospital said hawthorne 's 14-year-old daughter undergone surgery deep flesh wound arm leg . said stable condition expected make full recovery . ","Cri
"
9,19418,"  denver ( reuter ) - timothy mcveigh , formally sentenced thursday die oklahoma city bombing , broke long silence brief statement indicating saw attack revenge tyrannical government . moment u.s. district court judge richard matsch sentenced death april 19 , 1995 , bombing killed 168 people , mcveigh broke silence kept , except word , throughout 11-week trial . low tone packed courtroom straining hear , mcveigh read one-sentence quotation late liberal u.s . supreme court justice louis brandeis : `` our government potent , omnipresent teacher . good ill , teach whole people example . '' `` that 's say , '' added , standing ramrod straight dressed prison garb . hand decorated gulf war veteran clasped behind back . mcveigh read court powerful sentence brandeis dissent followed . `` if government becomes law breaker , breed contempt law ; invite every man become law unto himself ; invite anarchy . '' mcveigh later transferred u.s. penitentiary florence , colorado , justice department announced . prison highest maximum-security facility federal system dubbed `` alcatraz rockies '' opened late 1994 . trial , mcveigh 's attorney said client patriot deeply worried government attack individual right . described explosion , brought political violence america 's heartland , act revenge bloody april 19 , 1993 , government showdown branch davidian cult waco , texas , killed 80 people . mcveigh pleaded innocent , sentencing phase trial attorney tried explain bombing dwelling anger government , especially happened waco . `` he demon , though surely act demonic , '' chief defense attorney stephen jones said closing argument sentencing phase , ended jury 's vote mcveigh executed . mcveigh 's quote brandeis left many people courtroom dissatisfied , especially relative killed explosion alfred p. murrah federal building . mcveigh told buffalo news interview would speak , many hoped would shed new light case give full explanation action . quote mcveigh read came dissenting opinion wiretap case bootlegger 1920s . mcveigh 's lawyer said preferred try say mcveigh chose word brandeis , denver attorney scott robinson , attended bombing trial , said quotation reflected mcveigh 's anger waco . `` it 's fruit waco incident , '' robinson said . courtroom spectator also expected mcveigh say something lead attorney , jones . buffalo news interview , mcveigh accused jones botching defense . instead , mcveigh wrote one-page letter matsch expressed unhappiness jones noted judge `` aware problem difficulty appointed counsel past . '' said jones must remain case , would like defense lawyer , richard burr robert nigh , appointed co-appellate counsel . outside courtroom , jones criticize client said court decide remain case . jones also said filed thursday notice appeal mcveigh 's conviction .","Cri
"
